tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,polyline
203,6/1/15 3:07,6/1/15 3:10,265,Stanton St & Chrystie St,40.72229346,-73.99147535,412,Forsyth St & Canal St,40.7158155,-73.99422366,17017,Subscriber,1974,1,mqpwF~mrbMKEZ{Az@cEv@yCbFtBhGhClFvB~EtBtGjCbAd@k@xCk@xCQGA?CDAHIEKA
1351,6/1/15 7:09,6/1/15 7:31,412,Forsyth St & Canal St,40.7158155,-73.99422366,392,Jay St & Tech Pl,40.695065,-73.987167,17017,Subscriber,1961,1,{howFr~rbMJ@HDEPTH?J?HGb@BFJDz@Ej@DLAr@[VElAs@|Aq@lCoAfCeAbCgAhGoCjCkA~V{LfQiIpGuCfBw@bF_C`@SROLSP]J_@Fc@?]EQIIKGM@KDGLK`@OfAGrACzAAZbDFnBLpFPfCDnBFdEH
977,6/1/15 19:01,6/1/15 19:17,392,Jay St & Tech Pl,40.695065,-73.987167,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,17017,Subscriber,1986,2,cgkwFvrqbMzCFbBBFqEJ}JBaCFaFNyMJeEu@LWP_@b@{@hAo@h@]NUBA?}ALoDV[A_@D[Le@BwCNeB@[@D[PqLJaHNiLPqJLwKNsKFeEK?NgK?eACc@i@aGa@_F_C]eE_AiBRc@Fq@~@i@r@_C`DaInKwDfF[d@OMSPUNg@Vc@NgErAoCz@WFs@J_DBqDHoBHw@AwCBoA@O?eAYcEuAuJcDvAgIxBt@EV
1013,6/2/15 8:52,6/2/15 9:09,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,17017,Subscriber,1976,1,svnwFxmmbMoAnHlC~@dCx@zE~Av@DdBCpCCnAExAClDGhBCh@Cj@K^K`DeAnDiA`Aa@XUHINLnAeBlFkHbIsKnBmCpBWZCdAT~Bh@~B\d@~Fh@zFGnGa@`XMzKIfEQhLYnRMfHmGQ}DOi@D]Ny@t@E\EVKhJQlKC~@M|HoDIkGQeCIEzDfGP~@D
1130,6/2/15 20:28,6/2/15 20:47,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,308,St James Pl & Oliver St,40.71307916,-73.99851193,17017,Subscriber,1951,1,swlwFpuqbMlELxBD@?bBB@cA@k@?C@S?[?o@?OLCv@]NAv@]NC?I@g@J_AP_AHUFGJCNBHFFN@TCb@I\M^Wb@g@\OFKDo@ZeDzAkCjAuGvCuVlLiP`IqEpBcFzBmF|BaDxAkAf@[Nu@d@WBs@XG@[C]?a@BOAGGAEHe@AQUIDQ|@`@ZLh@TL?d@OdB{@d@Mx@WrCwA?L?@?N@x@@Z|@|VwAXEFKRJ@^`@
149,6/3/15 7:37,6/3/15 7:39,308,St James Pl & Oliver St,40.71307916,-73.99851193,2009,Catherine St & Monroe St,40.71117444,-73.99682619,17017,Subscriber,1972,1,ownwFdysbM|AzAhCk@SsDSgDjC_@d@G
578,6/3/15 8:00,6/3/15 8:09,2009,Catherine St & Monroe St,40.71117444,-73.99682619,259,South St & Whitehall St,40.70122128,-74.01234218,17017,Subscriber,1973,2,}knwFpnsbMjEm@bEu@XGXGDADd@PbC`@tCTfA^nA`AhCJXz@xBV\l@nAnCtHZp@xBlEl@dAi@l@nBlDdEtHNB^i@hAtBt@vA|@jBTJNP|CbGP^VdAJt@x@fFx@jFDL
896,6/3/15 12:58,6/3/15 13:13,259,South St & Whitehall St,40.70122128,-74.01234218,307,Canal St & Rutgers St,40.71427487,-73.98990025,17017,Subscriber,1957,1,qmlwF`pvbMEMQmAWcBKk@y@gF]kBUu@}CcGQUUKWi@_CqEi@aA_@h@OCmBkDwB}DoAyBh@m@mA{B_AkBcA{BaCwGg@gAW[aAcCKYs@kBYy@_@sAk@}DWiDw@gJGs@EqAo@mHEi@Cg@}@gKk@BImAe@qGKaCW{CqBPwBHmF`@aD`@m@Fq@BWAVtHDxDE?KDGBGJGX
329,6/3/15 13:20,6/3/15 13:26,307,Canal St & Rutgers St,40.71427487,-73.98990025,263,Elizabeth St & Hester St,40.71729,-73.996375,17017,Subscriber,1957,1,o_owFtcrbMo@nDV`BHpDHpBB`AFfFBXDn@FdDTnHLhBiC}A_Ak@s@]eEuBMh@A^WhAOn@}C}A
740,6/3/15 17:38,6/3/15 17:50,263,Elizabeth St & Hester St,40.71729,-73.996375,291,Madison St & Montgomery St,40.713126,-73.984844,17017,Subscriber,1970,2,krowFfmsbMkBcAw@c@_Bo@UGx@sDx@aErC_NrF|BtEnBnBv@p@MhBOi@}NSuBEyDxGi@WwHe@gJC{@
1559,6/4/15 9:04,6/4/15 9:30,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,459,W 20 St & 11 Ave,40.746745,-74.007756,17017,Subscriber,1959,2,iwqwFzrqbM~CuJaAo@iD{B_IiFgK}GkIoFmEwCuBsAeKz[kFlPmFpPsIhXqFvPaNvb@tBtAtBvAkFjPuBsAo@tBgCfI
268,6/4/15 9:36,6/4/15 9:41,459,W 20 St & 11 Ave,40.746745,-74.007756,116,W 17 St & 8 Ave,40.74177603,-74.00149746,17017,Subscriber,1975,2,cjuwFnsubMIRQA}BSrDkLh@_BmA{@m@a@hFqPlD|BxDhCzGpEbAn@z@mCvDuLuBuA]bA
638,6/4/15 12:38,6/4/15 12:49,116,W 17 St & 8 Ave,40.74177603,-74.00149746,482,W 15 St & 7 Ave,40.73935542,-73.99931783,17017,Subscriber,1958,1,iktwFdltbM\cAuBuAjFuPtBrAvFpDM`@
